date,Account,daily_pnl,win_rate,average_trade_size,trades_per_day,long_ratio,short_ratio,classification,frequency_segment,consistency_segment,next_day_pnl,target,sentiment_flag
2025-02-04,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,669.381363,0.6,414.13428571428574,70,0.38571428571428573,0.6142857142857143,Greed,Frequent,Consistent,250.581483,1,1
2025-03-01,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,250.581483,0.5217391304347826,217.15115942028987,69,0.4927536231884058,0.5072463768115942,Extreme Fear,Frequent,Consistent,439.634046,1,0
2025-03-02,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,439.634046,0.6,1251.5914666666667,75,0.36,0.64,Fear,Frequent,Consistent,494.669357,1,0
2025-03-03,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,494.669357,0.3620689655172414,536.928448275862,58,0.8275862068965517,0.1724137931034483,Fear,Frequent,Consistent,149.51234499999998,1,0
2025-03-04,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,149.51234499999998,0.11764705882352941,453.3190588235294,85,0.7529411764705882,0.24705882352941178,Extreme Fear,Frequent,Consistent,232.66549799999999,1,0
2025-04-01,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,232.66549799999999,0.49382716049382713,156.68296296296296,81,0.3950617283950617,0.6049382716049383,Fear,Frequent,Consistent,1291.500575,1,0
2025-04-02,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,1291.500575,0.3541666666666667,1139.6597916666667,48,0.6458333333333334,0.3541666666666667,Fear,Frequent,Consistent,163.73415,1,0
2025-04-03,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,163.73415,0.3023255813953488,1091.9493023255814,43,0.9767441860465116,0.023255813953488372,Fear,Frequent,Consistent,498.73528200000004,1,0
2025-04-04,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,498.73528200000004,0.56,280.5443,100,0.33,0.67,Fear,Frequent,Consistent,87.752181,1,0
2025-05-01,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,87.752181,0.5365853658536586,101.1840243902439,82,0.47560975609756095,0.524390243902439,Neutral,Frequent,Consistent,696.8107239999999,1,0
2025-05-02,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,696.8107239999999,0.4457831325301205,912.4063855421687,83,0.5421686746987951,0.4578313253012048,Greed,Frequent,Consistent,,0,1
2024-01-11,0x2c229d22b100a7beb69122eed721cee9b24011dd,-0.09906000000000104,0.2857142857142857,2139.280714285714,14,0.42857142857142855,0.5714285714285714,Extreme Greed,Infrequent,Consistent,16196.864846,1,0
2024-02-12,0x2c229d22b100a7beb69122eed721cee9b24011dd,16196.864846,0.5660377358490566,2348.7403773584906,53,0.4339622641509434,0.5660377358490566,Greed,Infrequent,Consistent,121.535562,1,1
2024-03-12,0x2c229d22b100a7beb69122eed721cee9b24011dd,121.535562,0.23728813559322035,1685.5867796610169,59,0.559322033898305,0.4406779661016949,Extreme Greed,Infrequent,Consistent,7591.307059,1,0
2024-04-12,0x2c229d22b100a7beb69122eed721cee9b24011dd,7591.307059,0.6756756756756757,3426.9959459459456,37,0.32432432432432434,0.6756756756756757,Extreme Greed,Infrequent,Consistent,2069.92634,1,0
